Episodio,Tempo_01,Tempo_02,Tempo_03,Tempo_04,Tempo_05,Tempo_06,Tempo_07,Tempo_08,Tempo_09,Tempo_10,Tempo_11,Tempo_12,Tempo_13,Tempo_14,Tempo_15,Tempo_16,Tempo_17,Tempo_18,Tempo_19,Tempo_20,Tempo_21,Tempo_22,Tempo_23,Tempo_24,Tempo_25,Tempo_26,Tempo_27,Tempo_28,Tempo_29,Tempo_30,Tempo_31,Tempo_32,Tempo_33,Tempo_34,Tempo_35
1,81,82,86,85,85,87,90,85,90,76,73,76,76,76,75,74,62,75,66,72,71,61,71,63,69,57,56,61,68,63,59,65,44,66,68
2,76,82,77,81,92,81,83,92,69,81,75,74,71,74,72,69,68,66,65,68,66,67,71,72,69,67,66,66,66,61,60,68,70,63,71
3,73,82,82,89,86,58,84,81,81,76,76,69,71,71,68,72,68,67,71,68,63,67,64,68,64,64,69,70,62,63,66,58,66,66,63
4,76,80,86,77,88,86,88,76,82,80,78,71,71,71,70,65,73,68,67,71,73,71,64,67,65,74,76,68,71,60,68,64,67,64,60
5,79,73,83,84,88,82,85,83,82,72,79,69,76,67,71,70,69,67,69,65,66,72,71,63,68,63,66,63,64,70,63,57,69,76,69
6,76,79,76,82,80,92,87,81,76,75,73,77,71,73,64,71,68,67,66,71,66,65,79,63,64,79,66,67,63,65,57,67,83,83,68
7,77,77,82,78,76,81,90,78,76,81,70,72,68,70,70,68,66,69,69,71,67,63,66,69,67,68,59,62,64,58,66,63,82,64,64
8,76,83,78,82,86,86,87,87,81,72,71,79,69,72,66,62,71,72,71,65,71,67,61,72,64,64,68,65,68,64,74,66,62,65,63
9,74,81,79,88,85,90,80,86,76,81,73,81,73,68,73,65,68,62,82,60,67,70,83,67,77,68,84,63,72,68,65,63,63,59,67
10,73,77,88,87,86,80,73,91,76,78,73,71,72,67,72,69,66,65,67,69,65,63,60,69,69,66,66,59,65,67,65,63,69,66,65
11,77,88,82,86,82,77,85,77,50,77,68,74,70,67,71,67,69,69,63,70,71,67,69,65,71,72,65,67,63,60,61,71,58,67,61
12,83,82,83,91,81,90,83,85,76,70,73,68,65,72,72,69,65,67,65,68,68,69,57,62,63,52,65,61,67,65,66,69,78,59,64
13,77,80,85,80,82,89,85,76,83,77,64,71,65,69,71,67,76,73,76,72,66,67,63,70,66,63,64,75,66,68,60,63,67,65,69
14,,74,80,81,81,87,77,80,82,73,76,72,71,68,66,67,70,68,74,64,69,72,69,62,66,66,65,64,60,62,72,56,65,62,70
15,,83,80,84,89,86,76,88,74,73,73,75,70,71,67,73,64,63,66,65,70,66,68,69,69,64,64,65,63,64,66,59,64,69,71
16,,74,83,83,86,85,81,82,76,75,73,66,77,71,70,74,63,71,61,72,57,60,72,71,67,68,70,65,63,58,65,64,62,61,63
17,,76,87,90,78,78,88,78,80,77,72,68,54,72,66,71,71,72,68,72,65,61,69,64,63,66,64,65,67,64,69,65,59,64,61
18,,79,82,69,83,86,80,88,78,73,74,86,77,69,71,67,67,59,70,69,68,68,71,64,70,66,62,68,70,50,64,67,66,55,63
19,,86,77,81,83,84,82,82,81,76,66,72,67,66,73,72,71,69,70,71,68,65,76,67,58,67,71,61,67,65,61,64,66,59,
20,,78,80,81,83,81,86,76,78,73,71,72,71,67,72,71,67,68,64,65,71,71,67,62,79,61,67,68,67,56,57,68,67,68,
21,,82,83,77,75,80,90,78,78,71,71,69,69,66,63,72,71,81,,72,69,73,66,71,66,65,62,61,76,58,66,63,61,63,
22,,78,76,81,80,81,85,81,84,73,79,,77,76,72,,63,71,,,73,70,40,70,66,67,66,64,,63,75,74,60,59,
23,,,77,,,82,81,93,82,80,,,,,,,,,,,64,,,,,,,,,62,,,,,
24,,,82,,,87,79,71,77,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,92,85,78,80,,,,,,,,,,,,,,,,,,,,,,,,,,
